"ccaa","year","edad","codigo","situation","count","porcentaje"
"Andalucía",2006,"de 35 a 39 años","1","mayores",656855,1
"Andalucía",2006,"de 35 a 39 años","1","activos",515559,0.78
"Andalucía",2006,"de 35 a 39 años","1","ocupados",465265,0.9
"Andalucía",2006,"de 35 a 39 años","1","asalariados",383430,0.82
"Andalucía",2006,"de 35 a 39 años","1","asal_temp",160611,0.42
"Andalucía",2006,"de 35 a 39 años","1","asal_temp_parc",23218,0.14
"Andalucía",2006,"de 35 a 39 años","1","asal_temp_parc_inv",12945,0.08
"Andalucía",2006,"de 35 a 39 años","1","asal_temp_comp",137393,0.86
"Andalucía",2006,"de 35 a 39 años","1","asal_indef",222819,0.58
"Andalucía",2006,"de 35 a 39 años","1","asal_indef_parc",18965,0.09
"Andalucía",2006,"de 35 a 39 años","1","asal_indef_parc_inv",6317,0.03
"Andalucía",2006,"de 35 a 39 años","1","asal_indef_comp",203854,0.91
"Andalucía",2006,"de 35 a 39 años","1","parados",50294,0.1
"Andalucía",2006,"de 35 a 39 años","1","para_b_4mas_a",4762,0.09
"Andalucía",2006,"de 35 a 39 años","1","para_b_2a4a",3608,0.07
"Andalucía",2006,"de 35 a 39 años","1","para_b_1a2a",8658,0.17
"Andalucía",2006,"de 35 a 39 años","1","para_b_6ma1a",6501,0.13
"Andalucía",2006,"de 35 a 39 años","1","para_b_menos6m",18637,0.37
"Andalucía",2006,"de 35 a 39 años","1","inac_desanim",5766,0.04
"Andalucía",2006,"de 35 a 39 años","1","inactivos",141295,0.22
"Andalucía",2006,"de 16 a 19 años","1","mayores",391732,1
"Andalucía",2006,"de 16 a 19 años","1","activos",123049,0.31
"Andalucía",2006,"de 16 a 19 años","1","ocupados",85832,0.7
"Andalucía",2006,"de 16 a 19 años","1","asalariados",76018,0.89
"Andalucía",2006,"de 16 a 19 años","1","asal_temp",66551,0.88
"Andalucía",2006,"de 16 a 19 años","1","asal_temp_parc",16964,0.25
"Andalucía",2006,"de 16 a 19 años","1","asal_temp_parc_inv",7311,0.11
"Andalucía",2006,"de 16 a 19 años","1","asal_temp_comp",49587,0.75
"Andalucía",2006,"de 16 a 19 años","1","asal_indef",9467,0.12
"Andalucía",2006,"de 16 a 19 años","1","asal_indef_parc",1019,0.11
"Andalucía",2006,"de 16 a 19 años","1","asal_indef_parc_inv",371,0.04
"Andalucía",2006,"de 16 a 19 años","1","asal_indef_comp",8448,0.89
"Andalucía",2006,"de 16 a 19 años","1","parados",37217,0.3
"Andalucía",2006,"de 16 a 19 años","1","para_b_4mas_a",398,0.01
"Andalucía",2006,"de 16 a 19 años","1","para_b_2a4a",1239,0.03
"Andalucía",2006,"de 16 a 19 años","1","para_b_1a2a",5494,0.15
"Andalucía",2006,"de 16 a 19 años","1","para_b_6ma1a",5930,0.16
"Andalucía",2006,"de 16 a 19 años","1","para_b_menos6m",17857,0.48
"Andalucía",2006,"de 16 a 19 años","1","inac_desanim",4555,0.02
"Andalucía",2006,"de 16 a 19 años","1","inactivos",268683,0.69
"Andalucía",2006,"de 40 a 44 años","1","mayores",626298,1
"Andalucía",2006,"de 40 a 44 años","1","activos",475308,0.76
"Andalucía",2006,"de 40 a 44 años","1","ocupados",424116,0.89
"Andalucía",2006,"de 40 a 44 años","1","asalariados",336554,0.79
"Andalucía",2006,"de 40 a 44 años","1","asal_temp",129472,0.38
"Andalucía",2006,"de 40 a 44 años","1","asal_temp_parc",24599,0.19
"Andalucía",2006,"de 40 a 44 años","1","asal_temp_parc_inv",16142,0.12
"Andalucía",2006,"de 40 a 44 años","1","asal_temp_comp",104872,0.81
"Andalucía",2006,"de 40 a 44 años","1","asal_indef",207083,0.62
"Andalucía",2006,"de 40 a 44 años","1","asal_indef_parc",10709,0.05
"Andalucía",2006,"de 40 a 44 años","1","asal_indef_parc_inv",3762,0.02
"Andalucía",2006,"de 40 a 44 años","1","asal_indef_comp",196374,0.95
"Andalucía",2006,"de 40 a 44 años","1","parados",51192,0.11
"Andalucía",2006,"de 40 a 44 años","1","para_b_4mas_a",6229,0.12
"Andalucía",2006,"de 40 a 44 años","1","para_b_2a4a",4967,0.1
"Andalucía",2006,"de 40 a 44 años","1","para_b_1a2a",7241,0.14
"Andalucía",2006,"de 40 a 44 años","1","para_b_6ma1a",6563,0.13
"Andalucía",2006,"de 40 a 44 años","1","para_b_menos6m",20819,0.41
"Andalucía",2006,"de 40 a 44 años","1","inac_desanim",11850,0.08
"Andalucía",2006,"de 40 a 44 años","1","inactivos",150990,0.24
"Andalucía",2006,"de 45 a 49 años","1","mayores",549512,1
"Andalucía",2006,"de 45 a 49 años","1","activos",406187,0.74
"Andalucía",2006,"de 45 a 49 años","1","ocupados",369903,0.91
"Andalucía",2006,"de 45 a 49 años","1","asalariados",285659,0.77
"Andalucía",2006,"de 45 a 49 años","1","asal_temp",89924,0.31
"Andalucía",2006,"de 45 a 49 años","1","asal_temp_parc",20176,0.22
"Andalucía",2006,"de 45 a 49 años","1","asal_temp_parc_inv",10197,0.11
"Andalucía",2006,"de 45 a 49 años","1","asal_temp_comp",69748,0.78
"Andalucía",2006,"de 45 a 49 años","1","asal_indef",195736,0.69
"Andalucía",2006,"de 45 a 49 años","1","asal_indef_parc",12093,0.06
"Andalucía",2006,"de 45 a 49 años","1","asal_indef_parc_inv",5390,0.03
"Andalucía",2006,"de 45 a 49 años","1","asal_indef_comp",183642,0.94
"Andalucía",2006,"de 45 a 49 años","1","parados",36284,0.09
"Andalucía",2006,"de 45 a 49 años","1","para_b_4mas_a",5585,0.15
"Andalucía",2006,"de 45 a 49 años","1","para_b_2a4a",3621,0.1
"Andalucía",2006,"de 45 a 49 años","1","para_b_1a2a",4877,0.13
"Andalucía",2006,"de 45 a 49 años","1","para_b_6ma1a",6212,0.17
"Andalucía",2006,"de 45 a 49 años","1","para_b_menos6m",11687,0.32
"Andalucía",2006,"de 45 a 49 años","1","inac_desanim",9902,0.07
"Andalucía",2006,"de 45 a 49 años","1","inactivos",143325,0.26
"Andalucía",2006,"de 30 a 34 años","1","mayores",676098,1
"Andalucía",2006,"de 30 a 34 años","1","activos",549654,0.81
"Andalucía",2006,"de 30 a 34 años","1","ocupados",482310,0.88
"Andalucía",2006,"de 30 a 34 años","1","asalariados",401520,0.83
"Andalucía",2006,"de 30 a 34 años","1","asal_temp",187657,0.47
"Andalucía",2006,"de 30 a 34 años","1","asal_temp_parc",30384,0.16
"Andalucía",2006,"de 30 a 34 años","1","asal_temp_parc_inv",15182,0.08
"Andalucía",2006,"de 30 a 34 años","1","asal_temp_comp",157273,0.84
"Andalucía",2006,"de 30 a 34 años","1","asal_indef",213863,0.53
"Andalucía",2006,"de 30 a 34 años","1","asal_indef_parc",18120,0.08
"Andalucía",2006,"de 30 a 34 años","1","asal_indef_parc_inv",5766,0.03
"Andalucía",2006,"de 30 a 34 años","1","asal_indef_comp",195743,0.92
"Andalucía",2006,"de 30 a 34 años","1","parados",67343,0.12
